# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      96      -570.072      -570.019      0.000556568      22.9466      22.9227      0.0275475      
     2      96      -572.807      -572.739      0.000706151      25.1294      25.1402      0.0243714      
     3      96      -569.648      -569.583      0.000682676      22.4278      22.5387      0.0368463      
     4      96      -569.719      -569.663      0.00058101      23.4142      23.4716      0.0360449      
     5      96      -572.067      -572.036      0.000314563      21.6317      21.5482      0.0258587      
     6      96      -570.939      -570.944      4.64692e-05      21.6317      21.5659      0.0290978      
     7      96      -568.954      -568.865      0.000919247      20.8326      20.8228      0.0295379      
     8      96      -570.314      -570.341      0.000278982      23.4348      23.4127      0.0281187      
     9      96      -571.024      -571.061      0.000383288      21.5602      21.4932      0.02611      
     10      96      -571.121      -571.159      0.00038817      21.0105      20.9205      0.0252066      
     11      96      -570.69      -570.713      0.000242669      21.3152      21.228      0.0272579      
     12      96      -570.156      -570.164      8.60655e-05      21.3733      21.3227      0.0319531      
     13      96      -570.184      -570.173      0.000115646      23.1924      23.2697      0.025458      
     14      96      -570.382      -570.38      1.86262e-05      22.6237      22.6558      0.0262774      
     15      96      -566.932      -566.899      0.000341123      19.1757      19.2021      0.0357039      
     16      96      -570.828      -570.871      0.000446864      22.1675      22.1673      0.0263814      
     17      96      -571.094      -571.126      0.000341214      22.0038      22.0114      0.0256843      
     18      96      -568.519      -568.396      0.00128742      22.83      22.8866      0.0362498      
     19      96      -568.946      -568.859      0.000905469      21.5199      21.5298      0.0325026      
     20      96      -568.77      -568.721      0.000504218      21.9798      21.9534      0.0298767      
     21      96      -568.364      -568.345      0.000195469      22.7348      22.7119      0.0289483      
     22      96      -567.942      -567.958      0.000161085      23.4738      23.4536      0.0297445      
     23      96      -568.102      -568.142      0.000421883      23.3826      23.3724      0.0303365      
     24      96      -569.504      -569.438      0.000688661      25.4475      25.5363      0.035896      
     25      96      -570.304      -570.271      0.000339834      24.0901      24.0791      0.0324608      
     26      96      -570.13      -570.049      0.000843373      27.5641      27.58      0.0284925      
     27      96      -571.021      -571.016      5.90372e-05      22.2551      22.2064      0.026254      
     28      96      -570.87      -570.858      0.000124917      22.2714      22.2784      0.0255642      
     29      96      -569.676      -569.678      2.00265e-05      23.7556      23.7255      0.0292954      
     30      96      -571.029      -570.963      0.000692134      21.4736      21.5203      0.0309153      
     31      96      -570.642      -570.615      0.000279427      22.5572      22.5985      0.0285857      
     32      96      -570.33      -570.427      0.00101295      22.5692      22.55      0.0229511      
     33      96      -567.119      -567.199      0.000831561      24.6054      24.6586      0.0285926      
     34      96      -569.432      -569.475      0.000438806      22.1445      22.1069      0.032624      
     35      96      -570.737      -570.74      3.85799e-05      21.2164      21.1639      0.0290471      
     36      96      -571.211      -571.198      0.000129206      20.6333      20.5964      0.0287188      
     37      96      -570.489      -570.46      0.00029663      21.9301      21.9156      0.0305805      
     38      96      -568.777      -568.727      0.000515214      24.7801      24.8006      0.0311924      
     39      96      -569.141      -569.132      9.35053e-05      23.9613      24.022      0.0299164      
     40      96      -568.036      -567.997      0.000396418      25.1456      25.1996      0.028483      
     41      96      -567.637      -567.601      0.00037487      24.6982      24.7612      0.0277873      
     42      96      -567.89      -567.869      0.000218317      23.4071      23.48      0.0290942      
     43      96      -568.354      -568.338      0.00015985      21.8897      21.9761      0.0295822      
     44      96      -568.417      -568.38      0.000381419      21.5844      21.701      0.0324535      
