# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      48      -99937.6      -99937.6      0.000170716      1.50963      1.39656      0.00469282      
     2      48      -99973.7      -99973.9      0.00392035      5.56606      5.97913      0.0167713      
     3      48      -99987.2      -99987.2      0.00113125      1.12432e-06      0.0700972      0.00305294      
     4      48      -99965.6      -99965.8      0.00416343      7.14383      6.95941      0.00790075      
     5      48      -99984.4      -99984.6      0.00592839      5.41787e-07      0.0246088      0.000935257      
     6      48      -99936.5      -99936.8      0.00643936      0.256531      0.351203      0.00404928      
     7      48      -99957.4      -99957.6      0.00464699      4.25618      4.37586      0.00492594      
     8      48      -99942.1      -99942      0.00116505      2.05399      1.73694      0.0127897      
     9      48      -99982.2      -99982.7      0.00840247      5.97417e-07      0.020574      0.000789245      
     10      48      -99981.1      -99981.1      0.00159207      2.52534e-06      0.11088      0.00491725      
     11      48      -99955.2      -99955.2      2.8751e-05      4.3427      4.35955      0.00166732      
     12      48      -99990      -99990.1      0.00129689      3.62065e-07      0.0173653      0.000504452      
     13      48      -99979.3      -99979.3      0.0018371      7.44096e-07      0.096542      0.00450668      
     14      48      -99977.9      -99978      0.00171618      2.86644e-06      0.0852635      0.00383671      
     15      48      -99989.3      -99989.4      0.00175271      4.20927e-07      0.0128339      0.000611193      
     16      48      -99988.1      -99988.2      0.0018143      3.16838e-07      0.0172231      0.000560527      
     17      48      -99977.2      -99977.3      0.00154091      8.30246e-07      0.083766      0.00343324      
     18      48      -99990.3      -99990.2      0.00049038      6.51148e-07      0.0433385      0.00207395      
     19      48      -99985.3      -99985.3      0.000114623      1.38878e-06      0.0566413      0.00261775      
     20      48      -99989.9      -99989.8      0.00213256      4.44005e-07      0.0599498      0.0026245      
     21      48      -99959.3      -99959.6      0.00492929      5.08776      5.15029      0.00274994      
     22      48      -99973.5      -99973.5      0.000995725      5.04038      5.03471      0.000880844      
     23      48      -99934.7      -99934.7      0.000887847      1.04212      0.991118      0.00211628      
     24      48      -99978.5      -99979      0.0104476      6.35046e-07      0.0190685      0.00104214      
     25      48      -99988.8      -99988.7      0.00228161      9.69606e-07      0.0171362      0.000571378      
     26      48      -99963.1      -99963.5      0.0087669      1.96445      1.85714      0.00454518      
     27      48      -99976.8      -99976.9      0.00351775      2.2698      2.26672      0.00146017      
