# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      48      -99937.5      -99937.6      0.000969777      1.45709      1.39656      0.002629      
     2      48      -99973.6      -99973.9      0.00610773      5.62193      5.97913      0.0145763      
     3      48      -99987.3      -99987.2      0.00302616      9.57991e-07      0.0700972      0.00305293      
     4      48      -99965.6      -99965.8      0.00444937      7.08475      6.95941      0.00558      
     5      48      -99984.4      -99984.6      0.00480242      9.2906e-07      0.0246088      0.000935265      
     6      48      -99936.6      -99936.8      0.00451813      0.273969      0.351203      0.00336421      
     7      48      -99957.4      -99957.6      0.00439921      4.30832      4.37586      0.00287769      
     8      48      -99941.9      -99942      0.0021915      2.05165      1.73694      0.0126979      
     9      48      -99982.3      -99982.7      0.00824455      1.0939e-06      0.020574      0.000789261      
     10      48      -99981.1      -99981.1      0.00166596      2.63739e-06      0.11088      0.00491725      
     11      48      -99955.2      -99955.2      0.00116325      4.36573      4.35955      0.00125618      
     12      48      -99990      -99990.1      0.00131514      3.61167e-07      0.0173653      0.000504452      
     13      48      -99979.2      -99979.3      0.00224977      5.38735e-07      0.096542      0.00450668      
     14      48      -99977.9      -99978      0.00228258      2.56253e-06      0.0852635      0.00383671      
     15      48      -99989.3      -99989.4      0.00121105      4.41889e-07      0.0128339      0.000611193      
     16      48      -99988.2      -99988.2      0.000277132      3.15203e-07      0.0172231      0.000560527      
     17      48      -99977.2      -99977.3      0.00215691      6.31325e-07      0.083766      0.00343323      
     18      48      -99990.3      -99990.2      0.000944996      6.63892e-07      0.0433385      0.00207395      
     19      48      -99985.3      -99985.3      0.00114681      1.20729e-06      0.0566413      0.00261774      
     20      48      -99989.9      -99989.8      0.00352997      4.26762e-07      0.0599498      0.0026245      
     21      48      -99959.5      -99959.6      0.00256417      5.0731      5.15029      0.0033258      
     22      48      -99973.5      -99973.5      0.00114142      4.99433      5.03471      0.00195995      
     23      48      -99934.7      -99934.7      0.000407468      1.06503      0.991118      0.00301617      
     24      48      -99978.5      -99979      0.0113124      4.31589e-07      0.0190685      0.00104213      
     25      48      -99988.9      -99988.7      0.00428002      8.55954e-07      0.0171362      0.000571374      
     26      48      -99963      -99963.5      0.00944209      1.94474      1.85714      0.00377096      
     27      48      -99976.7      -99976.9      0.00431007      2.22183      2.26672      0.00304408      
     28      48      -99983.2      -99983.2      0.000408963      1.51576e-06      0.0509153      0.00241783      
     29      48      -99986.5      -99986.5      0.00146564      7.49192e-07      0.0104536      0.000487938      
     30      48      -99941.7      -99941.2      0.0107745      10.7495      10.7362      0.0098722      
     31      48      -99925.2      -99925.1      0.00216954      12.7002      12.7135      0.0166391      
     32      48      -99920.2      -99920.1      0.00300333      15.0098      14.9844      0.00493357      
     33      48      -99990      -99990.1      0.00131514      3.61167e-07      0.0173653      0.000504452      
     34      48      -99990      -99990.1      0.00130975      0.000581333      0.020792      0.00077153      
     35      48      -99981.3      -99981.3      0.000636771      1.14771      1.15708      0.00536877      
     36      48      -99969.8      -99969.7      0.00228216      3.48727      3.5529      0.00721063      
     37      48      -99981      -99981      0.000757857      1.41411      1.30894      0.00936622      
     38      48      -99950.9      -99951      0.00411291      7.73842      7.71118      0.00371797      
     39      48      -99937.2      -99936.8      0.00876403      10.2362      10.1474      0.0071076      
     40      48      -99972.4      -99972.3      0.000545885      2.11319      2.15307      0.0148937      
     41      48      -99888.8      -99888.7      0.00090917      28.075      28.0222      0.0147494      
     42      48      -99966.7      -99966.8      0.00160244      3.82415      3.84155      0.00273017      
     43      48      -99989.6      -99989.7      0.00102652      0.0473082      0.0515249      0.000530098      
     44      48      -99989.8      -99989.8      0.00110587      0.0316729      0.0334136      0.000493864      
     45      48      -99937.2      -99936.8      0.00876389      10.2362      10.1474      0.0071114      
     46      48      -99982      -99982      0.000711856      1.03487      1.11246      0.00406204      
     47      48      -99924.5      -99924.5      0.00161009      12.5587      12.6729      0.0137305      
     48      48      -99973.8      -99973.6      0.00342134      2.7483      2.85835      0.00673851      
     49      48      -99982.8      -99982.8      0.000770509      0.926055      0.928407      0.00645294      
     50      48      -99987.8      -99987.8      0.000749805      0.274377      0.314145      0.00389687      
     51      48      -99941.3      -99941.2      0.00333458      11.4159      11.4857      0.0135193      
     52      48      -99977.2      -99977.1      0.00108628      2.33356      2.21467      0.0202399      
     53      48      -99973.7      -99973.7      0.00114507      2.67195      2.68035      0.0020348      
     54      48      -99964.8      -99964.9      0.00218386      3.91941      3.91483      0.00771847      
     55      48      -99979.1      -99979.1      0.000431939      1.47717      1.44902      0.0121409      
     56      48      -99947.8      -99948.1      0.0059056      7.85685      7.77582      0.00780168      
     57      48      -99980.3      -99980.3      0.00101615      1.6457      1.7243      0.00974443      
     58      48      -99980.9      -99980.9      0.00121379      1.21412      1.17027      0.00506123      
     59      48      -99912      -99911.7      0.0054828      17.4397      17.6212      0.0137075      
     60      48      -99931.6      -99931.7      0.00277415      11.1429      10.96      0.0143801      
     61      48      -99909.9      -99909.8      0.00259714      19.7848      19.759      0.0116717      
     62      48      -99975.5      -99975.5      0.000445953      1.60965      1.73424      0.0123979      
     63      48      -99963.3      -99963.3      0.000706024      4.41113      4.46804      0.00478863      
     64      48      -99973.8      -99973.8      4.7724e-05      2.33491      2.28863      0.00541002      
     65      48      -99974.7      -99974.7      0.00175393      2.22391      2.26262      0.0037354      
     66      48      -99969.8      -99969.8      0.000512231      2.82004      2.68872      0.0344765      
     67      48      -99925.2      -99925      0.00472285      14.4857      14.4683      0.00439883      
     68      48      -99932.2      -99932      0.00406551      11.3907      11.297      0.0168715      
     69      48      -99978.5      -99978.5      0.00152744      1.68028      1.49288      0.0124005      
     70      48      -99978.2      -99978.2      0.000681186      1.98883      2.02486      0.00373873      
     71      48      -99978.7      -99978.8      0.00191251      1.54277      1.35326      0.00814627      
     72      48      -99980      -99980      0.000127842      1.66451      1.71622      0.00421565      
     73      48      -99978.9      -99979      0.000423155      1.77272      1.82298      0.00445109      
     74      48      -99979.7      -99979.8      0.00154197      1.38825      1.3277      0.0061195      
     75      48      -99934.8      -99934.8      0.000273255      10.8017      10.6382      0.0107009      
     76      48      -99979.7      -99979.8      0.00154195      1.38825      1.3277      0.00610431      
     77      48      -99945.2      -99944.9      0.00593746      10.4447      10.4583      0.0172629      
     78      48      -99938.9      -99938.8      0.00210043      10.3922      10.4863      0.00689672      
     79      48      -99950.9      -99951      0.00411296      7.73842      7.71101      0.00332764      
     80      48      -99988.6      -99988.6      0.000719161      0.167807      0.178855      0.00177178      
     81      48      -99970.3      -99970.2      0.00280898      2.93957      2.96199      0.00781096      
     82      48      -99953.8      -99954      0.00401353      6.61088      6.59717      0.00678708      
     83      48      -99932.4      -99931.9      0.00894181      13.6053      13.5346      0.0207216      
     84      48      -99969.8      -99969.7      0.00228224      3.48727      3.55289      0.00726334      
     85      48      -99978.8      -99978.8      0.00142556      1.4005      1.24368      0.0139016      
     86      48      -99931.5      -99931.4      0.0024513      11.3077      11.1652      0.013739      
     87      48      -99960.3      -99960.1      0.00468973      4.86712      5.00637      0.0079821      
     88      48      -99983.9      -99983.8      0.000302765      1.0932      1.14311      0.00844438      
     89      48      -99961.4      -99961.6      0.0031022      4.17378      4.07545      0.010871      
     90      48      -99967.2      -99967.4      0.00263284      3.83333      3.83303      0.00261857      
     91      48      -99944.5      -99944.8      0.00561758      8.03648      7.92928      0.00893286      
     92      48      -99969.7      -99969.6      0.00212234      3.0441      3.15672      0.012821      
     93      48      -99989.1      -99989.1      0.00079972      0.112972      0.120687      0.00112176      
     94      48      -99917.6      -99917.6      0.000563224      16.5151      16.635      0.0092635      
     95      48      -99981.4      -99981.5      0.00152113      1.13395      0.970304      0.00914366      
     96      48      -99966      -99965.8      0.00443508      4.65982      4.78557      0.00810741      
     97      48      -99953.9      -99954.3      0.00713408      5.9775      5.8145      0.00917817      
     98      48      -99964.7      -99964.5      0.00300788      4.10299      4.17458      0.00542731      
     99      48      -99927.9      -99927.6      0.0064421      8.39385      8.50178      0.00973116      
     100      48      -99955.8      -99955.6      0.00322408      3.88273      3.95648      0.0157907      
     101      48      -99809.9      -99809.9      0.00160562      27.9485      27.8576      0.0177719      
     102      48      -99940.1      -99940.5      0.00748194      6.64003      6.65135      0.0238256      
     103      48      -99911.3      -99911.6      0.00580823      19.5421      19.7894      0.0195567      
     104      48      -99896.5      -99896.5      0.000421748      9.05073      9.28468      0.0170101      
     105      48      -99917.3      -99916.8      0.0102627      16.3338      16.3363      0.0152655      
     106      48      -99781.8      -99782.2      0.00735815      24.7512      24.7623      0.014725      
     107      48      -99921.5      -99921.8      0.00567633      25.1129      25.1963      0.00821683      
     108      48      -99923.2      -99923.1      0.000721627      11.8239      12.0287      0.0200361      
     109      48      -99887.4      -99887.2      0.00514653      24.3637      24.3047      0.00806475      
     110      48      -99932.2      -99932.2      0.000299255      3.8897      3.86458      0.00655428      
     111      48      -99923.7      -99924.1      0.00973129      9.21162      9.06194      0.0098635      
     112      48      -99948.5      -99948.6      0.0017724      4.9237      4.92759      0.00459999      
     113      48      -99870.8      -99870.9      0.00248968      18.6856      18.9125      0.0205362      
     114      48      -99840.7      -99840.7      0.00158423      19.3854      19.3363      0.0130057      
     115      48      -99934.2      -99934.4      0.00267192      17.9505      17.8768      0.0112944      
     116      48      -99932.2      -99931.9      0.00627232      9.00404      9.1891      0.0164623      
     117      48      -99929.9      -99930      0.00191978      8.94334      8.96488      0.00596842      
     118      48      -99950.2      -99950      0.00362301      10.8566      10.8609      0.0197876      
     119      48      -99910.4      -99910.3      0.00219282      28.4245      28.3244      0.0087063      
     120      48      -99895.8      -99896.1      0.0049262      30.6238      30.5889      0.00384074      
     121      48      -99922.6      -99922.6      0.000664805      15.6069      15.5299      0.0069106      
     122      48      -99768.4      -99768.5      0.00207965      29.8147      29.8251      0.00166303      
     123      48      -99939.5      -99939.7      0.00422953      15.3295      15.4368      0.0103839      
     124      48      -99848.7      -99848.7      0.000486001      19.3625      19.3466      0.0145386      
     125      48      -99797.3      -99797.3      0.0014366      18.4976      18.4804      0.0122826      
     126      48      -99935.9      -99936.4      0.00989673      2.36008      2.51204      0.0154534      
     127      48      -99825.9      -99825.5      0.00761992      21.8989      21.9078      0.00526745      
     128      48      -99956.1      -99956.5      0.00925573      7.55453      7.48635      0.00675059      
     129      48      -99933.5      -99933.1      0.00742518      10.0546      9.88754      0.0198079      
     130      48      -99831      -99831      0.000431283      33.1377      33.1216      0.0161781      
     131      48      -99948      -99948      0.000753591      9.64561      9.6994      0.00729115      
     132      48      -99944.5      -99944.5      0.00138703      6.63878      6.77458      0.010309      
     133      48      -99911.8      -99911.1      0.0158543      16.907      16.9218      0.0172925      
     134      48      -99844.2      -99843.7      0.00989302      16.2578      16.3002      0.00707306      
     135      48      -99924.9      -99925.4      0.00878363      22.3742      22.2819      0.0103398      
     136      48      -99825.9      -99825.5      0.00761983      21.8989      21.9081      0.00526868      
     137      48      -99830.9      -99830.9      0.000805017      43.358      43.4137      0.00759392      
     138      48      -99900.2      -99900.1      0.00197822      18.5222      18.3308      0.0162749      
     139      48      -99926.2      -99926.1      0.000339637      10.7651      10.6859      0.00897575      
     140      48      -99786.9      -99787.1      0.00386756      28.4716      28.4203      0.00722903      
