# aa.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      216      -1042.72      -1042.71      5.60305e-05      1.12506      1.12494      0.00745488      
     2      216      -1042.77      -1042.75      7.21608e-05      0.185288      0.0335336      0.00564725      
     3      216      -1042.76      -1042.74      6.59741e-05      0.439883      0.386498      0.00590949      
     4      216      -1042.76      -1042.75      7.46487e-05      0.297728      0.278447      0.00608026      
     5      216      -1042.77      -1042.75      7.35894e-05      0.231369      0.154139      0.00611454      
     6      216      -1042.77      -1042.75      7.62234e-05      0.18909      0.127118      0.00678637      
     7      216      -1042.77      -1042.75      7.33555e-05      0.189133      0.0712373      0.00597932      
     8      216      -1042.77      -1042.75      7.23433e-05      0.195097      0.08296      0.00557277      
     9      216      -1042.77      -1042.75      7.20908e-05      0.189972      0.0572126      0.0055885      
     10      216      -1042.77      -1042.75      7.2721e-05      0.186187      0.0623497      0.00576874      
     11      216      -1042.72      -1042.71      5.60305e-05      1.12506      1.12494      0.00745488      
     12      216      -1042.77      -1042.75      7.21608e-05      0.185288      0.0335336      0.00564725      
     13      216      -1042.76      -1042.74      6.59741e-05      0.439883      0.386498      0.00590949      
     14      216      -1042.76      -1042.75      7.46487e-05      0.297728      0.278447      0.00608026      
     15      216      -1042.77      -1042.75      7.35894e-05      0.231369      0.154139      0.00611454      
     16      216      -1042.77      -1042.75      7.62234e-05      0.18909      0.127118      0.00678637      
     17      216      -1042.77      -1042.75      7.33555e-05      0.189133      0.0712373      0.00597932      
     18      216      -1042.77      -1042.75      7.23433e-05      0.195097      0.08296      0.00557277      
     19      216      -1042.77      -1042.75      7.20908e-05      0.189972      0.0572126      0.0055885      
     20      216      -1042.77      -1042.75      7.2721e-05      0.186187      0.0623497      0.00576874      
# iIn.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     21      217      -1044.36      -1044.37      3.20766e-05      1.66029      1.59025      0.00747116      
     22      217      -1044.41      -1044.42      4.0513e-05      0.216314      0.0409326      0.00579022      
     23      217      -1044.41      -1044.42      3.95229e-05      0.213765      0.0312967      0.00581866      
     24      217      -1044.41      -1044.42      4.29681e-05      0.336371      0.321937      0.00588282      
     25      217      -1044.41      -1044.42      4.40643e-05      0.238378      0.130956      0.00564138      
     26      217      -1044.41      -1044.42      4.39144e-05      0.223993      0.0845663      0.00568468      
     27      217      -1044.41      -1044.42      4.26278e-05      0.212906      0.05834      0.00588087      
     28      217      -1044.41      -1044.42      4.28093e-05      0.215395      0.0321081      0.00574199      
     29      217      -1044.41      -1044.42      4.28327e-05      0.219269      0.0376939      0.00566578      
     30      217      -1044.41      -1044.42      4.24548e-05      0.218174      0.0313904      0.00566255      
     31      217      -1044.41      -1044.42      4.09811e-05      0.218424      0.048728      0.00575964      
     32      217      -1044.72      -1044.71      5.23946e-05      0.894013      0.975126      0.00811413      
     33      217      -1044.74      -1044.74      3.16203e-05      0.360169      0.353121      0.00700065      
     34      217      -1044.75      -1044.74      3.0102e-05      0.335572      0.368317      0.00723444      
     35      217      -1044.75      -1044.74      2.19445e-05      0.277735      0.155656      0.00687957      
     36      217      -1044.75      -1044.75      2.10219e-05      0.270785      0.1334      0.0071452      
     37      217      -1044.75      -1044.75      1.96669e-05      0.264126      0.0780715      0.00702759      
     38      217      -1044.75      -1044.75      1.9371e-05      0.26386      0.0766486      0.00706855      
     39      217      -1045.36      -1045.29      0.000339301      0.236761      0.154444      0.00681081      
     40      217      -1045.36      -1045.29      0.000336636      0.226487      0.0924965      0.00648491      
     41      217      -1045.36      -1045.29      0.000335535      0.228266      0.104385      0.00641309      
     42      217      -1045.36      -1045.29      0.000333945      0.226638      0.0777868      0.00635352      
     43      217      -1045.36      -1045.29      0.000333044      0.230123      0.0887591      0.00648114      
     44      217      -1045.36      -1045.29      0.000331422      0.229108      0.0568754      0.00625672      
     45      217      -1045.36      -1045.29      0.000330981      0.232721      0.0669956      0.00629604      
     46      217      -1045.36      -1045.29      0.000331318      0.237702      0.0406562      0.00645729      
     47      217      -1045.18      -1045.13      0.000253306      0.718018      0.757815      0.00812198      
     48      217      -1045.2      -1045.15      0.000240285      0.338991      0.265179      0.007771      
     49      217      -1045.2      -1045.15      0.000239428      0.330601      0.272665      0.00795097      
     50      217      -1045.2      -1045.15      0.000234971      0.312435      0.157706      0.00776913      
     51      217      -1045.2      -1045.15      0.000235607      0.308782      0.150901      0.00819075      
     52      217      -1045.05      -1045.04      3.86378e-05      0.990962      0.963903      0.00672184      
     53      217      -1045.07      -1045.06      3.95762e-05      0.497247      0.467825      0.00590536      
     54      217      -1045.07      -1045.06      4.03637e-05      0.507469      0.488507      0.00599948      
     55      217      -1045.08      -1045.07      4.45574e-05      0.300685      0.197665      0.00620675      
     56      217      -1045.08      -1045.07      4.98395e-05      0.262908      0.173582      0.00683308      
     57      217      -1045.05      -1045.04      3.86378e-05      0.990962      0.963903      0.00672184      
     58      217      -1045.07      -1045.06      3.95762e-05      0.497247      0.467825      0.00590536      
     59      217      -1045.07      -1045.06      4.03637e-05      0.507469      0.488507      0.00599948      
     60      217      -1045.08      -1045.07      4.45574e-05      0.300685      0.197665      0.00620675      
     61      217      -1045.08      -1045.07      4.98395e-05      0.262908      0.173582      0.00683308      
# aP.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     62      216      -1045.31      -1045.37      0.000274127      0.324418      0.205612      0.00639409      
     63      216      -1045.33      -1045.39      0.000282352      0.502983      0.563489      0.00718228      
     64      216      -1045.31      -1045.37      0.000271486      0.292105      0.126753      0.00619385      
