# Bulk.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      8      -38.7277      -38.7277      8.06113e-06      6.07104e-14      0      1.01676e-14      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     2      4      -19.3389      -19.3395      0.000128325      0.0117045      0.004696      0.00274005      
     3      4      -18.9925      -18.9922      8.45175e-05      0.000467871      0.015096      0.00248159      
     4      4      -18.7596      -18.7598      5.22664e-05      0.00942114      0.026416      0.00289028      
     5      4      -18.4936      -18.4941      0.000115764      0.0269824      0.036914      0.00176491      
     6      4      -18.2019      -18.2022      8.96761e-05      0.0862384      0.055734      0.00514716      
     7      4      -17.8893      -17.889      7.18657e-05      0.0923453      0.063452      0.00485406      
     8      4      -17.5579      -17.5573      0.000153998      0.123618      0.080334      0.00730653      
     9      4      -17.2151      -17.2153      7.093e-05      0.104277      0.087346      0.00301545      
     10      4      -16.8535      -16.8535      2.23011e-05      0.0313781      0.104282      0.0122755      
     11      4      -19.3063      -19.3066      7.34006e-05      0.00226992      0.007376      0.00164019      
     12      4      -19.1806      -19.1801      0.000128529      0.0019343      0.009042      0.00122023      
     13      4      -17.8378      -17.8377      2.55353e-05      0.0708192      0.00984      0.0101648      
     14      4      -19.3016      -19.3016      5.44457e-06      0.00118638      0.004756      0.000990828      
     15      4      -19.2078      -19.2078      6.88144e-10      0.00472862      0.000514      0.000714766      
     16      4      -19.0268      -19.0262      0.000157096      0.0163592      0.00049      0.00265163      
     17      4      -18.6833      -18.6839      0.000134366      0.00577037      0.005468      5.24994e-05      
     18      8      -24.9077      -24.9073      4.44573e-05      1.68542e-13      0      2.72911e-14      
     19      8      -25.3319      -25.3311      0.000100848      1.79558e-13      0      2.93846e-14      
     20      8      -34.1135      -34.1135      3.65123e-06      6.23648e-14      0      1.0185e-14      
     21      8      -25.7467      -25.7457      0.00012568      4.21453e-13      0      6.13054e-14      
     22      8      -26.1521      -26.151      0.000137576      1.83612e-13      0      2.7258e-14      
     23      8      -26.5485      -26.5475      0.000128414      1.94891e-13      0      3.1632e-14      
     24      8      -26.936      -26.9351      0.000105872      2.27906e-13      0      3.71371e-14      
     25      8      -27.3147      -27.3141      7.99093e-05      5.11792e-12      0      7.55832e-13      
     26      8      -27.6849      -27.6845      5.41994e-05      1.80029e-13      0      2.88434e-14      
     27      8      -28.0467      -28.0464      2.76157e-05      2.24798e-13      0      3.69869e-14      
     28      8      -28.4002      -28.4002      2.29177e-06      1.32163e-13      0      2.14107e-14      
     29      8      -28.7456      -28.7457      1.87569e-05      2.80537e-13      0      4.5736e-14      
     30      8      -29.083      -29.0833      3.60491e-05      2.7418e-13      0      4.45719e-14      
     31      8      -35.6027      -35.6042      0.000176644      3.05872e-14      0      5.44456e-15      
     32      8      -29.4125      -29.4129      5.03146e-05      1.55336e-13      0      2.39965e-14      
     33      8      -29.7344      -29.7348      5.55812e-05      3.42554e-13      0      5.31905e-14      
     34      8      -30.0486      -30.049      5.5111e-05      3.00195e-13      0      4.82858e-14      
