# extended.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      54      -559.117      -558.983      0.00247039      24.6937      24.6664      0.171061      
     2      54      -559.593      -559.327      0.00493714      24.0796      24.4084      0.142076      
     3      54      -582.112      -582.127      0.000273971      10.5717      10.6124      0.0407003      
     4      54      -561.627      -561.48      0.00271264      24.1249      24.4283      0.153007      
     5      54      -582.844      -582.863      0.000359192      9.66141      9.50794      0.0429943      
     6      54      -560.751      -560.416      0.00621018      26.6935      27.2437      0.17002      
     7      54      -581.767      -581.808      0.000768      10.8313      10.8433      0.036079      
     8      54      -561.699      -561.766      0.00123993      24.9067      24.8695      0.140386      
     9      54      -582.819      -582.853      0.000623044      9.06184      8.93814      0.0395026      
     10      54      -563.456      -563.481      0.000455775      24.4273      24.625      0.135239      
     11      54      -582.986      -582.943      0.000784041      8.75389      8.71728      0.0398299      
     12      54      -561.77      -561.253      0.00955763      24.4561      25.1372      0.150757      
     13      54      -582.104      -582.135      0.000568345      10.8717      10.9305      0.0392673      
     14      54      -559.301      -559.344      0.000787658      24.142      24.3717      0.167693      
     15      54      -582.953      -582.974      0.000383351      9.0588      8.93551      0.0423281      
     16      54      -562.616      -562.421      0.00361259      25.1958      25.6198      0.155457      
     17      54      -582.697      -582.684      0.000239034      9.10078      9.04117      0.0431651      
     18      54      -562.439      -562.529      0.00165845      23.9256      24.0173      0.154435      
     19      54      -581.527      -581.606      0.00147728      11.3224      11.2436      0.0413854      
     20      54      -562.45      -562.239      0.00390298      23.0153      23.4186      0.146755      
     21      54      -582.74      -582.753      0.000240202      9.40419      9.32079      0.0409381      
     22      54      -553.783      -554.269      0.00898941      24.2058      24.6014      0.189638      
     23      54      -582.243      -582.297      0.00099897      10.2764      10.3418      0.0365399      
     24      54      -562.36      -562.31      0.000940082      23.0423      23.2318      0.142333      
     25      54      -582.951      -582.971      0.000379303      9.15893      8.95499      0.0420166      
     26      54      -582.369      -582.396      0.000483019      9.97506      10.0441      0.0322195      
     27      54      -559.691      -559.671      0.000382857      24.3698      24.5944      0.159171      
     28      54      -583.121      -583.143      0.000397853      8.73654      8.53942      0.0431985      
     29      54      -562.571      -562.48      0.0017001      24.7313      24.7409      0.152486      
     30      54      -582.984      -583.001      0.000316819      8.84973      8.71974      0.0385387      
     31      54      -560.555      -560.745      0.00352176      24.3177      24.2209      0.172855      
     32      54      -582.492      -582.502      0.000172329      9.61984      9.55476      0.0379638      
     33      54      -556.629      -556.543      0.00158278      26.9795      27.1566      0.154591      
     34      54      -581.674      -581.722      0.000888753      11.1785      11.2963      0.0420612      
     35      54      -559.382      -559.513      0.0024267      24.906      25.4328      0.155714      
     36      54      -582.361      -582.366      0.000104812      9.86263      9.83512      0.0379278      
     37      54      -557.548      -557.369      0.00331168      27.7313      27.9705      0.157591      
     38      54      -581.43      -581.483      0.000975947      11.2785      11.3889      0.0381434      
     39      54      -555.191      -555.128      0.00117477      26.5474      26.6327      0.197103      
     40      54      -582.993      -583.007      0.000247421      9.07208      8.96866      0.0382262      
     41      54      -558.592      -558.52      0.00133534      26.7486      27.2627      0.14662      
     42      54      -583.081      -583.074      0.000131479      8.76479      8.73583      0.044287      
     43      54      -558.11      -558.143      0.000620956      24.8681      25.1437      0.183337      
     44      54      -581.857      -581.887      0.000545408      11.0264      11.1053      0.0344452      
     45      54      -561.659      -561.612      0.000877276      23.9188      23.9102      0.138174      
     46      54      -582.236      -582.238      3.79203e-05      10.1681      10.1642      0.0367955      
     47      54      -581.93      -581.967      0.000702144      10.3867      10.3212      0.0369867      
     48      54      -559.995      -560.261      0.00492848      24.7193      24.723      0.163476      
     49      54      -564.77      -564.75      0.000363736      23.7999      23.7104      0.129179      
     50      54      -582.31      -582.363      0.000969373      10.4219      10.3832      0.038059      
     51      54      -582.922      -582.945      0.000419784      9.5745      9.43346      0.0461298      
     52      54      -559.579      -559.49      0.00165288      23.4986      23.8741      0.15769      
     53      54      -582.756      -582.721      0.000650011      9.3244      9.27695      0.047874      
     54      54      -561.324      -561.488      0.00303284      26.7034      26.1679      0.158384      
     55      54      -582.714      -582.713      1.91066e-05      9.76961      9.67244      0.0409378      
     56      54      -556.774      -556.449      0.00601648      26.8677      27.0792      0.171781      
     57      54      -582.758      -582.761      5.44605e-05      9.02281      8.91836      0.0446795      
     58      54      -559.502      -559.933      0.00798014      25.9058      25.1946      0.148975      
     59      54      -583.009      -583.017      0.000150411      9.01358      8.90192      0.0415482      
     60      54      -567.601      -567.438      0.00301864      21.8791      22.0331      0.12981      
     61      54      -582.568      -582.593      0.000458242      9.91694      9.85367      0.0387492      
     62      54      -562.253      -561.894      0.00664947      23.0737      23.7399      0.152419      
     63      54      -581.761      -581.833      0.00133801      11.3184      11.2368      0.0423525      
     64      54      -563.244      -563.191      0.000980375      23.0552      23.4412      0.15807      
     65      54      -582.742      -582.771      0.000530482      9.79803      9.72896      0.0399206      
     66      54      -559.938      -559.466      0.0087438      26.1665      26.4387      0.167045      
     67      54      -583.17      -583.128      0.000777291      8.72796      8.69668      0.0401264      
     68      54      -562.476      -562.606      0.00239689      25.1361      24.8233      0.152774      
     69      54      -582.33      -582.354      0.00043754      10.2569      10.2638      0.0390755      
     70      54      -557.973      -557.697      0.0051225      25.1541      25.435      0.168534      
     71      54      -582.236      -582.266      0.000567442      10.1101      10.1174      0.0337433      
     72      54      -581.35      -581.393      0.000790416      12.0039      12.1212      0.0447358      
     73      54      -567.465      -567.593      0.00237711      22.2935      21.7196      0.129086      
     74      54      -583.004      -582.996      0.000147698      9.49056      9.47674      0.0430848      
     75      54      -554.802      -554.52      0.00521321      28.1153      28.5748      0.18279      
     76      54      -583.134      -583.116      0.000331848      8.86272      8.83108      0.0381249      
     77      54      -557.95      -558.071      0.00224336      25.8591      25.579      0.156329      
     78      54      -582.371      -582.429      0.00107102      10.2394      10.2614      0.0313436      
     79      54      -558.812      -558.744      0.0012626      23.9183      24.032      0.177525      
     80      54      -582.782      -582.827      0.000840441      9.7284      9.71577      0.0369518      
     81      54      -564.134      -564.166      0.00058291      24.2088      23.993      0.129698      
     82      54      -582.906      -582.908      2.45759e-05      9.35199      9.28799      0.0416953      
     83      54      -562.112      -562.258      0.00270361      23.9704      24.0798      0.130461      
     84      54      -582.405      -582.405      1.34001e-06      10.0787      9.99509      0.0399712      
     85      54      -561.529      -561.405      0.00229402      24.2733      24.5968      0.152638      
     86      54      -582.918      -582.931      0.000244255      8.98577      8.90746      0.0393339      
     87      54      -561.178      -561.107      0.00131328      24.7796      24.7158      0.143187      
     88      54      -581.816      -581.856      0.00073347      10.7632      10.6906      0.0362572      
     89      54      -582.448      -582.408      0.000732546      10.1023      10.1557      0.042867      
     90      54      -559.739      -559.655      0.00154204      24.4985      24.6301      0.166277      
     91      54      -582.633      -582.644      0.000203296      9.45243      9.38691      0.0389781      
     92      54      -557.06      -557.047      0.000243771      26.763      26.5966      0.160221      
     93      54      -582.137      -582.177      0.000737332      10.5402      10.6572      0.0346829      
     94      54      -558.139      -558.128      0.000203834      27.8762      27.6744      0.147219      
     95      54      -582.216      -582.265      0.000895882      10.6157      10.7508      0.0307954      
     96      54      -563.839      -563.481      0.00662875      22.9773      23.6376      0.15405      
     97      54      -581.581      -581.649      0.0012631      11.2376      11.2251      0.0423682      
     98      54      -583.081      -583.102      0.000386806      8.79077      8.70139      0.0353775      
     99      54      -565.991      -566.017      0.000478766      23.7294      23.3628      0.140439      
     100      54      -582.148      -582.173      0.000457851      10.6745      10.7487      0.0369079      
     101      54      -565.015      -564.954      0.00113448      22.7845      23.0575      0.125476      
     102      54      -582.559      -582.608      0.000896874      9.88257      9.72667      0.0398619      
     103      54      -561.676      -561.558      0.00218892      24.0261      24.0804      0.138124      
     104      54      -582.628      -582.608      0.000371765      9.2348      9.21681      0.0408473      
     105      54      -563.938      -563.565      0.00689965      24.2538      24.637      0.14048      
     106      54      -582.01      -582.025      0.000265664      10.454      10.3565      0.0428129      
     107      54      -560.662      -560.58      0.0015134      24.3674      24.7461      0.146748      
     108      54      -582.884      -582.873      0.000201071      9.15817      9.07519      0.0441677      
     109      54      -559.167      -558.992      0.00323402      22.5011      23.1403      0.163343      
     110      54      -582.301      -582.36      0.00107694      10.2896      10.3045      0.0403937      
     111      54      -555.623      -555.164      0.0085042      23.7525      24.14      0.197585      
     112      54      -583.223      -583.207      0.0003073      8.70044      8.57907      0.0419984      
     113      54      -560.39      -560.105      0.00526546      23.0911      23.7421      0.16964      
     114      54      -583.067      -583.099      0.0005848      8.95947      8.86036      0.0380082      
     115      54      -581.913      -581.926      0.000229879      10.7425      10.7185      0.040392      
     116      54      -564.261      -564.242      0.000353296      23.4127      23.4827      0.141916      
     117      54      -582.601      -582.596      9.11179e-05      9.52036      9.45005      0.0460256      
     118      54      -563.717      -563.547      0.00314654      22.6254      23.1456      0.153558      
     119      54      -582.607      -582.628      0.000389384      9.69606      9.70371      0.0346938      
     120      54      -582.562      -582.586      0.000427673      10.2482      10.132      0.0405175      
     121      54      -565.166      -565.229      0.00116195      21.9753      21.653      0.138217      
     122      54      -582.124      -582.129      0.000102152      10.3584      10.3182      0.043861      
     123      54      -560.384      -560.574      0.00352518      24.7833      24.1967      0.162252      
     124      54      -582.865      -582.885      0.000369767      9.38993      9.42057      0.0357755      
     125      54      -556.901      -556.57      0.00613101      25.2202      25.4034      0.168387      
     126      54      -581.754      -581.793      0.000705968      11.3045      11.2705      0.0380469      
     127      54      -563.497      -563.594      0.00178022      23.4202      23.1488      0.142684      
     128      54      -583.21      -583.144      0.00122132      8.25396      8.25698      0.0437379      
     129      54      -559.593      -559.663      0.00130265      23.0041      23.2315      0.162587      
     130      54      -582.127      -582.168      0.000751108      10.5241      10.5784      0.0345468      
     131      54      -557      -556.812      0.00348695      26.3156      26.978      0.164384      
     132      54      -583.01      -582.99      0.000372937      9.38325      9.35725      0.0397855      
     133      54      -561.144      -560.974      0.00313539      25.5425      25.9167      0.161525      
     134      54      -582.956      -582.939      0.00031484      9.01928      8.97399      0.0410617      
     135      54      -563.762      -563.506      0.00474292      22.6905      23.2285      0.144351      
     136      54      -582.85      -582.886      0.000676221      9.30211      9.24066      0.0360852      
     137      54      -558.823      -558.502      0.00594362      24.2915      25.1431      0.171639      
     138      54      -582.773      -582.806      0.000608943      9.51089      9.48365      0.0305379      
     139      54      -581.97      -581.994      0.000437814      10.748      10.6168      0.0410408      
     140      54      -557.958      -558.15      0.00354351      24.7879      24.7065      0.156481      
     141      54      -581.329      -581.365      0.000681208      11.8482      12.0082      0.0454646      
     142      54      -561.831      -561.392      0.00811398      24.553      25.0469      0.167035      
     143      54      -582.796      -582.819      0.000420504      9.5508      9.4996      0.0373256      
     144      54      -562.721      -562.895      0.00321927      23.9458      23.7793      0.146375      
     145      54      -582.529      -582.591      0.00113494      10.0566      9.93897      0.0363048      
     146      54      -559.546      -559.595      0.000900963      24.7946      24.6008      0.160104      
     147      54      -582.704      -582.709      7.95897e-05      9.62512      9.54212      0.0405414      
     148      54      -563.73      -563.38      0.00647304      21.4349      22.1964      0.140059      
     149      54      -582.687      -582.747      0.00112059      9.72396      9.5346      0.0378007      
     150      54      -559.484      -559.405      0.0014567      27.6735      27.9632      0.150959      
     151      54      -583.291      -583.278      0.000238697      8.45214      8.33845      0.0425166      
     152      54      -561.232      -560.853      0.00702676      25.1395      25.7561      0.135622      
     153      54      -582.803      -582.848      0.00083934      9.69126      9.66257      0.0342767      
     154      54      -560.425      -560.431      0.000111777      25.7561      25.9846      0.136549      
