# extended.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      54      -559.08      -558.983      0.00178502      24.6869      24.6664      0.171132      
     2      54      -559.579      -559.327      0.00468129      24.0807      24.4084      0.140663      
     3      54      -582.11      -582.127      0.000314269      10.5269      10.6124      0.0347176      
     4      54      -561.58      -561.48      0.00185908      24.2673      24.4283      0.156896      
     5      54      -582.847      -582.863      0.000302652      9.61063      9.50794      0.0308514      
     6      54      -560.755      -560.416      0.00628651      26.505      27.2437      0.17632      
     7      54      -581.765      -581.808      0.00080294      10.7495      10.8433      0.0346608      
     8      54      -561.71      -561.766      0.00105429      24.7648      24.8695      0.140072      
     9      54      -582.815      -582.853      0.000702778      9.02958      8.93814      0.0320142      
     10      54      -563.429      -563.481      0.000970001      24.4373      24.625      0.137196      
     11      54      -582.95      -582.943      0.00013261      8.80224      8.71728      0.0360564      
     12      54      -561.736      -561.253      0.00893309      24.2219      25.1372      0.154925      
     13      54      -582.116      -582.135      0.000343792      10.8285      10.9305      0.0345014      
     14      54      -559.296      -559.344      0.000882206      23.9369      24.3717      0.164812      
     15      54      -582.958      -582.974      0.000291575      9.0219      8.93551      0.0347817      
     16      54      -562.631      -562.421      0.00389867      25.0103      25.6198      0.156471      
     17      54      -582.692      -582.684      0.0001456      9.08273      9.04117      0.0417013      
     18      54      -562.436      -562.529      0.00172577      23.7837      24.0173      0.153439      
     19      54      -581.55      -581.606      0.00103769      11.2433      11.2436      0.0372765      
     20      54      -562.337      -562.239      0.00180812      23.1781      23.4186      0.143415      
     21      54      -582.735      -582.753      0.000337128      9.38528      9.32079      0.0349505      
     22      54      -553.762      -554.269      0.00937752      24.1036      24.6014      0.18896      
     23      54      -582.261      -582.297      0.00067539      10.1736      10.3418      0.0377041      
     24      54      -562.378      -562.31      0.00127163      22.9077      23.2318      0.144502      
     25      54      -582.948      -582.971      0.000419152      9.12141      8.95499      0.0371743      
     26      54      -582.373      -582.396      0.00041127      9.9155      10.0441      0.0304613      
     27      54      -559.649      -559.671      0.000399237      24.4653      24.5944      0.161403      
     28      54      -583.11      -583.143      0.000605341      8.72475      8.53942      0.0382756      
     29      54      -562.629      -562.48      0.00277246      24.5562      24.7409      0.150571      
     30      54      -582.98      -583.001      0.000379039      8.80473      8.71974      0.0309311      
     31      54      -560.529      -560.745      0.00399425      24.1604      24.2209      0.171331      
     32      54      -582.481      -582.502      0.000379892      9.58277      9.55476      0.0321649      
     33      54      -556.541      -556.543      5.19458e-05      27.3152      27.1566      0.154702      
     34      54      -581.686      -581.722      0.000678843      11.12      11.2963      0.0409593      
     35      54      -559.382      -559.513      0.00242574      25.0002      25.4328      0.15898      
     36      54      -582.36      -582.366      0.000116566      9.79305      9.83512      0.0311681      
     37      54      -557.549      -557.369      0.00332967      27.7657      27.9705      0.159656      
     38      54      -581.462      -581.483      0.000390412      11.1766      11.3889      0.0387461      
     39      54      -555.167      -555.128      0.000733643      26.5552      26.6327      0.19191      
     40      54      -582.988      -583.007      0.000346127      9.07206      8.96866      0.0331156      
     41      54      -558.557      -558.52      0.000686573      26.9204      27.2627      0.148433      
     42      54      -583.077      -583.074      5.10576e-05      8.75941      8.73583      0.0371128      
     43      54      -558.096      -558.143      0.000878606      25.082      25.1437      0.179824      
     44      54      -581.872      -581.887      0.000266474      10.9683      11.1053      0.0339293      
     45      54      -561.675      -561.612      0.00117378      23.9126      23.9102      0.142506      
     46      54      -582.224      -582.238      0.000274843      10.1535      10.1642      0.0333529      
     47      54      -581.927      -581.967      0.000754417      10.3578      10.3212      0.0310949      
     48      54      -560      -560.261      0.00483769      24.8706      24.723      0.170025      
     49      54      -564.72      -564.75      0.000568645      23.7684      23.7104      0.129208      
     50      54      -582.316      -582.363      0.000856473      10.3675      10.3832      0.0318445      
     51      54      -582.93      -582.945      0.000285203      9.53403      9.43346      0.0371271      
     52      54      -559.58      -559.49      0.00168057      23.3975      23.8741      0.155732      
     53      54      -582.744      -582.721      0.000428319      9.28656      9.27695      0.042475      
     54      54      -561.365      -561.488      0.00226627      26.6934      26.1679      0.156213      
     55      54      -582.698      -582.713      0.000272592      9.77084      9.67244      0.0351039      
     56      54      -556.689      -556.449      0.00444183      26.8816      27.0792      0.171469      
     57      54      -582.733      -582.761      0.000515097      9.02382      8.91836      0.0387704      
     58      54      -559.527      -559.933      0.00753222      25.8083      25.1946      0.147143      
     59      54      -583.01      -583.017      0.000139445      8.9891      8.90192      0.0369389      
     60      54      -567.596      -567.438      0.00292356      21.7895      22.0331      0.128145      
     61      54      -582.571      -582.593      0.000397      9.89849      9.85367      0.034036      
     62      54      -562.217      -561.894      0.00598682      23.2106      23.7399      0.151733      
     63      54      -581.771      -581.833      0.0011481      11.2654      11.2368      0.0327952      
     64      54      -563.224      -563.191      0.000606189      23.072      23.4412      0.158237      
     65      54      -582.746      -582.771      0.000462555      9.75967      9.72896      0.0313536      
     66      54      -559.94      -559.466      0.00878839      26.1985      26.4387      0.169386      
     67      54      -583.167      -583.128      0.000733712      8.69899      8.69668      0.0336854      
     68      54      -562.518      -562.606      0.00161216      25.042      24.8233      0.155442      
     69      54      -582.333      -582.354      0.000374808      10.2284      10.2638      0.0320364      
     70      54      -557.983      -557.697      0.00530185      25.0274      25.435      0.167751      
     71      54      -582.233      -582.266      0.000622572      10.0409      10.1174      0.0304985      
     72      54      -581.365      -581.393      0.000521012      11.9402      12.1212      0.042698      
     73      54      -567.453      -567.593      0.00258296      22.1603      21.7196      0.122972      
     74      54      -583.002      -582.996      0.000111198      9.5126      9.47674      0.0404446      
     75      54      -554.893      -554.52      0.00691081      28.0082      28.5748      0.178171      
     76      54      -583.117      -583.116      2.18959e-05      8.8527      8.83108      0.0345323      
     77      54      -557.889      -558.071      0.00335916      25.8881      25.579      0.160686      
     78      54      -582.389      -582.429      0.00074937      10.1723      10.2614      0.0291749      
     79      54      -558.765      -558.744      0.000390564      23.8211      24.032      0.178025      
     80      54      -582.791      -582.827      0.000673262      9.7191      9.71577      0.0315476      
     81      54      -564.133      -564.166      0.00061228      24.1223      23.993      0.131326      
     82      54      -582.896      -582.908      0.000217689      9.34709      9.28799      0.0331232      
     83      54      -562.085      -562.258      0.00319813      24.2652      24.0798      0.135606      
     84      54      -582.401      -582.405      6.37198e-05      10.0349      9.99509      0.0348215      
     85      54      -561.46      -561.405      0.00102569      24.4147      24.5968      0.156132      
     86      54      -582.913      -582.931      0.00033413      8.97539      8.90746      0.0343626      
     87      54      -561.212      -561.107      0.00194998      24.5302      24.7158      0.138775      
     88      54      -581.813      -581.856      0.000800202      10.7173      10.6906      0.031548      
     89      54      -582.43      -582.408      0.000406103      10.114      10.1557      0.0359389      
     90      54      -559.791      -559.655      0.00250968      24.5201      24.6301      0.164994      
     91      54      -582.623      -582.644      0.000392798      9.42922      9.38691      0.0301346      
     92      54      -557.095      -557.047      0.000887641      26.8017      26.5966      0.15976      
     93      54      -582.149      -582.177      0.000522945      10.4575      10.6572      0.034674      
     94      54      -558.093      -558.128      0.000648471      27.9357      27.6744      0.152486      
     95      54      -582.238      -582.265      0.000497275      10.5565      10.7508      0.0327162      
     96      54      -563.827      -563.481      0.00640754      23.0829      23.6376      0.152075      
     97      54      -581.601      -581.649      0.000891383      11.1378      11.2251      0.0405641      
     98      54      -583.084      -583.102      0.000327705      8.73278      8.70139      0.0303913      
     99      54      -565.943      -566.017      0.00136825      23.6553      23.3628      0.142055      
     100      54      -582.168      -582.173      9.72035e-05      10.5631      10.7487      0.0344952      
     101      54      -565.013      -564.954      0.00109521      22.7617      23.0575      0.124564      
     102      54      -582.571      -582.608      0.000690107      9.81898      9.72667      0.0337121      
     103      54      -561.681      -561.558      0.00229252      24.1501      24.0804      0.142239      
     104      54      -582.598      -582.608      0.000187039      9.22827      9.21681      0.0345648      
     105      54      -563.964      -563.565      0.00738344      24.0897      24.637      0.140159      
     106      54      -581.978      -582.025      0.000868809      10.4596      10.3565      0.0392765      
     107      54      -560.655      -560.58      0.00137488      24.3824      24.7461      0.143673      
     108      54      -582.865      -582.873      0.000132474      9.13138      9.07519      0.0398764      
     109      54      -559.196      -558.992      0.00377623      22.5486      23.1403      0.161496      
     110      54      -582.317      -582.36      0.000779026      10.1803      10.3045      0.0357649      
     111      54      -555.473      -555.164      0.00573246      23.8626      24.14      0.192612      
     112      54      -583.211      -583.207      8.51026e-05      8.70297      8.57907      0.0352337      
     113      54      -560.35      -560.105      0.00453025      23.1835      23.7421      0.165847      
     114      54      -583.059      -583.099      0.000742471      8.93714      8.86036      0.0318069      
     115      54      -581.909      -581.926      0.000308396      10.6574      10.7185      0.0357285      
     116      54      -564.226      -564.242      0.000296417      23.4255      23.4827      0.144109      
     117      54      -582.589      -582.596      0.000135951      9.49814      9.45005      0.0389272      
     118      54      -563.678      -563.547      0.00241785      22.776      23.1456      0.151865      
     119      54      -582.61      -582.628      0.000344475      9.64651      9.70371      0.0288941      
     120      54      -582.577      -582.586      0.000165827      10.2076      10.132      0.0353163      
     121      54      -565.109      -565.229      0.00222516      21.936      21.653      0.139741      
     122      54      -582.101      -582.129      0.000512867      10.3671      10.3182      0.0386571      
     123      54      -560.403      -560.574      0.00316543      24.5673      24.1967      0.160142      
     124      54      -582.864      -582.885      0.000387517      9.36875      9.42057      0.0283874      
     125      54      -556.89      -556.57      0.00591959      25.2882      25.4034      0.170149      
     126      54      -581.754      -581.793      0.000708847      11.2308      11.2705      0.03545      
     127      54      -563.448      -563.594      0.00268621      23.3163      23.1488      0.14169      
     128      54      -583.183      -583.144      0.000708014      8.27471      8.25698      0.039202      
     129      54      -559.599      -559.663      0.0011895      22.8591      23.2315      0.157734      
     130      54      -582.136      -582.168      0.000581603      10.4628      10.5784      0.0332234      
     131      54      -556.983      -556.812      0.00316388      26.5164      26.978      0.16321      
     132      54      -582.993      -582.99      7.18862e-05      9.4131      9.35725      0.0367934      
     133      54      -561.104      -560.974      0.0023941      25.6863      25.9167      0.158581      
     134      54      -582.944      -582.939      0.000108164      9.02678      8.97399      0.0334      
     135      54      -563.772      -563.506      0.00492807      22.4737      23.2285      0.14907      
     136      54      -582.852      -582.886      0.000627909      9.28021      9.24066      0.0318679      
     137      54      -558.821      -558.502      0.00589685      24.2139      25.1431      0.171531      
     138      54      -582.77      -582.806      0.000661093      9.48891      9.48365      0.0267837      
     139      54      -581.966      -581.994      0.000515212      10.6823      10.6168      0.0343356      
     140      54      -557.942      -558.15      0.00384556      24.7618      24.7065      0.156561      
     141      54      -581.35      -581.365      0.000281375      11.7669      12.0082      0.0434316      
     142      54      -561.811      -561.392      0.00774647      24.592      25.0469      0.167388      
     143      54      -582.795      -582.819      0.000437903      9.52614      9.4996      0.0312667      
     144      54      -562.759      -562.895      0.0025059      23.7542      23.7793      0.147056      
     145      54      -582.547      -582.591      0.000817974      9.98794      9.93897      0.0305849      
     146      54      -559.515      -559.595      0.00147281      24.7632      24.6008      0.159857      
     147      54      -582.69      -582.709      0.000345016      9.61814      9.54212      0.034524      
     148      54      -563.734      -563.38      0.00654636      21.5494      22.1964      0.132313      
     149      54      -582.681      -582.747      0.00123883      9.67309      9.5346      0.0324612      
     150      54      -559.471      -559.405      0.0012193      27.7412      27.9632      0.152054      
     151      54      -583.275      -583.278      6.19143e-05      8.45557      8.33845      0.0358764      
     152      54      -561.177      -560.853      0.00601128      25.4205      25.7561      0.138973      
     153      54      -582.815      -582.848      0.000611589      9.6194      9.66257      0.029112      
     154      54      -560.374      -560.431      0.00106764      26.0045      25.9846      0.135094      
