# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      64      -754.211      -754.22      0.000142198      8.37657      8.39867      0.0227277      
     2      64      -753.856      -753.865      0.000140361      9.12725      9.13443      0.024971      
     3      64      -754.037      -754.022      0.000235583      9.03303      9.01726      0.0245903      
     4      64      -754.277      -754.28      4.1712e-05      8.37381      8.38173      0.0251165      
     5      64      -753.788      -753.777      0.000175663      9.46625      9.47831      0.027186      
     6      64      -754.042      -754.049      0.000111148      8.46522      8.46532      0.0249702      
     7      64      -754.325      -754.318      0.000113721      8.12071      8.12769      0.0253772      
     8      64      -753.98      -753.969      0.000173095      9.40925      9.42546      0.0260734      
     9      64      -754.125      -754.142      0.000262075      8.78887      8.82135      0.0252315      
# Displaced_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     10      54      -631.048      -631.02      0.000515513      16.5637      16.6259      0.0488607      
     11      54      -631.723      -631.72      5.84435e-05      15.6276      15.5867      0.0455196      
     12      54      -631.374      -631.386      0.00021781      15.9519      15.9238      0.0466755      
     13      54      -632.558      -632.576      0.000334483      14.5908      14.5598      0.0445604      
     14      54      -630.455      -630.45      9.09368e-05      16.9717      16.9634      0.0471282      
     15      54      -631.662      -631.669      0.000127661      16.034      16.0576      0.0507952      
     16      54      -632.433      -632.431      2.52638e-05      14.6352      14.6981      0.0489624      
     17      54      -630.966      -630.96      0.000115827      15.9112      15.9907      0.0465398      
     18      54      -623.371      -623.378      0.000132354      24.6419      24.6764      0.0660788      
# Displaced_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     19      48      -555.913      -555.899      0.000273347      6.06803      6.08462      0.0186692      
     20      48      -555.912      -555.922      0.000223959      6.29175      6.29707      0.0175167      
     21      48      -555.8      -555.8      1.1672e-05      6.06589      6.0211      0.0178309      
     22      48      -556.206      -556.196      0.000207798      5.08177      5.12796      0.015806      
     23      48      -555.492      -555.489      7.15103e-05      7.02745      7.05022      0.0184373      
     24      48      -556.028      -556.028      8.78046e-06      5.58409      5.61188      0.0177503      
     25      48      -555.975      -555.968      0.000130343      5.97948      5.97922      0.0156064      
     26      48      -556.035      -556.047      0.000246375      5.5744      5.54445      0.0172525      
     27      48      -555.738      -555.748      0.000195992      6.46126      6.47893      0.0188511      
# Elastic_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     28      2      -23.6897      -23.6894      0.000188515      0.00250632      0.000622275      0.000452375      
     29      2      -23.69      -23.6899      4.27965e-05      0.00250973      0.000616605      0.000451539      
     30      2      -23.6903      -23.69      0.000140953      0.00352803      0.000881043      0.000888208      
     31      2      -23.6912      -23.691      0.00011266      4.09654e-06      0      1.63454e-06      
     32      2      -23.6902      -23.6905      0.000150675      0.0025108      0.000598227      0.000455831      
     33      2      -23.6902      -23.6904      0.000109509      0.00251635      0.000592572      0.000458343      
     34      2      -23.6899      -23.6892      0.000329923      0.00249479      0.000627936      0.000446745      
     35      2      -23.6907      -23.6905      9.87386e-05      0.00352622      0.000864014      0.000891278      
     36      2      -23.6901      -23.6899      0.000110849      0.00253245      0.000615215      0.000459061      
     37      2      -23.6904      -23.6906      8.05345e-05      0.00251579      0.000603873      0.00045242      
     38      2      -23.6909      -23.6902      0.00034235      0.0043147      0.0010737      0.00132313      
     39      2      -23.6901      -23.6893      0.000392293      0.00352322      0.000890013      0.00087938      
     40      2      -23.6902      -23.6898      0.000209088      0.00433329      0.00108025      0.00132799      
     41      2      -23.6895      -23.6897      8.96106e-05      0.00356182      0.000868003      0.000898583      
     42      2      -23.6899      -23.6901      8.05151e-05      0.00550438      0.00137382      0.00132442      
     43      2      -23.6888      -23.6881      0.000366825      0.00249145      0.000633613      0.000446491      
     44      2      -23.6902      -23.6892      0.000472611      0.00355029      0.00088801      0.000887814      
     45      2      -23.6899      -23.6895      0.000181581      0.00356099      0.000886001      0.000891919      
